Order,Position_x,Position_y,Position_z,Owner_ID,Distance_to_Camera,Bottom_Left_x,Bottom_Left_y,Bottom_Left_z,Top_Left_x,Top_Left_y,Top_Left_z,Top_Right_x,Top_Right_y,Top_Right_z,Bottom_Right_x,Bottom_Right_y,Bottom_Right_z,Frustum_Apex_x,Frustum_Apex_y,Frustum_Apex_z,Is_Visible,Out_Of_Frame,BehindAMesh,Predicted_Is_Visible,Predicted_BehindAMesh,Predicted_Out_Of_Frame
0,-1.497173,-0.2878271,0.8901728,-4724,3.643686,-3.618418,0.4289797,-1.399838,-3.569204,0.7711247,-1.377151,-3.2556,0.7711247,-2.057413,-3.304814,0.4289796,-2.080101,-3.706098,0.6469836,-1.852677,1,0,0,1,0,0
1,-1.497173,-0.2878271,1.465827,-4724,4.094593,-3.618418,0.4289797,-1.399838,-3.569204,0.7711247,-1.377151,-3.2556,0.7711247,-2.057413,-3.304814,0.4289796,-2.080101,-3.706098,0.6469836,-1.852677,0,0,1,0,0,0
2,-2.072827,-0.2878271,0.8901728,-4724,3.32636,-3.618418,0.4289797,-1.399838,-3.569204,0.7711247,-1.377151,-3.2556,0.7711247,-2.057413,-3.304814,0.4289796,-2.080101,-3.706098,0.6469836,-1.852677,1,0,0,1,0,0
3,-2.072827,-0.2878271,1.465827,-4724,3.814959,-3.618418,0.4289797,-1.399838,-3.569204,0.7711247,-1.377151,-3.2556,0.7711247,-2.057413,-3.304814,0.4289796,-2.080101,-3.706098,0.6469836,-1.852677,1,0,0,1,0,0
4,-1.496165,0.2879004,0.8891646,-4724,3.539836,-3.618418,0.4289797,-1.399838,-3.569204,0.7711247,-1.377151,-3.2556,0.7711247,-2.057413,-3.304814,0.4289796,-2.080101,-3.706098,0.6469836,-1.852677,1,0,0,1,0,0
5,-1.496165,0.2879004,1.466835,-4724,4.003986,-3.618418,0.4289797,-1.399838,-3.569204,0.7711247,-1.377151,-3.2556,0.7711247,-2.057413,-3.304814,0.4289796,-2.080101,-3.706098,0.6469836,-1.852677,0,0,1,1,0,0
6,-2.073835,0.2879004,0.8891646,-4724,3.211062,-3.618418,0.4289797,-1.399838,-3.569204,0.7711247,-1.377151,-3.2556,0.7711247,-2.057413,-3.304814,0.4289796,-2.080101,-3.706098,0.6469836,-1.852677,1,0,0,1,0,0
7,-2.073835,0.2879004,1.466835,-4724,3.716501,-3.618418,0.4289797,-1.399838,-3.569204,0.7711247,-1.377151,-3.2556,0.7711247,-2.057413,-3.304814,0.4289796,-2.080101,-3.706098,0.6469836,-1.852677,1,0,0,1,0,0
8,-1.785,-0.5,1.178,-4724,3.76712,-3.618418,0.4289797,-1.399838,-3.569204,0.7711247,-1.377151,-3.2556,0.7711247,-2.057413,-3.304814,0.4289796,-2.080101,-3.706098,0.6469836,-1.852677,1,0,0,1,0,0
9,-1.785,0.5,1.178,-4724,3.59127,-3.618418,0.4289797,-1.399838,-3.569204,0.7711247,-1.377151,-3.2556,0.7711247,-2.057413,-3.304814,0.4289796,-2.080101,-3.706098,0.6469836,-1.852677,1,0,0,1,0,0
